Time,T1,T2,P1,U1,P2,U2
0,26.06,24.77,200.0,100.0,100.0,0.0
2.0,26.06,24.77,200.0,100.0,100.0,0.0
4.0,26.06,24.45,200.0,100.0,100.0,0.0
6.0,26.06,24.45,200.0,100.0,100.0,0.0
8.0,26.06,24.45,200.0,100.0,100.0,0.0
10.0,26.06,24.77,200.0,100.0,100.0,0.0
12.0,25.74,24.45,200.0,100.0,100.0,0.0
14.01,25.74,24.45,200.0,100.0,100.0,0.0
16.01,25.74,24.45,200.0,100.0,100.0,0.0
18.01,25.74,24.45,200.0,100.0,100.0,0.0
20.0,25.74,24.45,200.0,100.0,100.0,0.0
22.0,25.74,24.45,200.0,100.0,100.0,0.0
24.0,25.74,24.45,200.0,100.0,100.0,0.0
26.0,25.74,24.45,200.0,100.0,100.0,0.0
28.0,25.74,24.45,200.0,100.0,100.0,0.0
30.0,25.74,24.45,200.0,100.0,100.0,0.0
