Time,T1,T2,U1,U2,SP1,SP2,T1_ff,T2_ff
0,20.949499999999997,20.949499999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
5.0,20.949499999999997,20.949499999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
10.04,21.594099999999997,21.594099999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
15.04,22.238699999999998,22.238699999999998,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
20.06,23.205599999999997,23.205599999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
25.04,24.1725,24.1725,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
30.03,25.1394,25.1394,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
35.08,26.4286,26.4286,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
40.09,27.3955,27.717799999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
45.01,28.6847,28.6847,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
50.2,29.973899999999997,29.973899999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
55.3,31.263099999999998,31.263099999999998,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
60.02,32.23,32.23,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
65.05,33.5192,34.4861,50.21116138763199,51.59879336349924,49.0,50.0,49.0,50.0
70.02,34.4861,34.4861,63.06184012066366,47.79788838612368,62.0,50.0,61.00000000000001,50.0
75.09,35.775299999999994,35.775299999999994,65.20361990950228,47.16440422322776,63.0,50.0,63.00000000000001,50.00000000000001
80.01,36.7422,36.7422,65.20361990950228,47.16440422322776,63.0,50.0,63.00000000000001,50.00000000000001
85.06,38.0314,37.7091,65.20361990950228,47.16440422322776,63.0,50.0,63.00000000000001,50.00000000000001
95.23,40.287499999999994,39.3206,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
100.14,41.576699999999995,40.287499999999994,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
105.2,42.865899999999996,41.2544,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
110.04,44.1551,41.898999999999994,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
115.03,45.4443,42.5436,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
120.03,46.7335,43.51049999999999,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
125.18,48.02269999999999,44.1551,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
130.08,49.311899999999994,44.799699999999994,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
135.02,50.2788,45.4443,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
140.03,51.568,46.088899999999995,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
145.19,52.8572,46.7335,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
150.21,53.824099999999994,47.378099999999996,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
155.09,54.791,48.02269999999999,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
160.11,55.75789999999999,48.6673,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
165.23,57.04709999999999,48.989599999999996,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
170.17,57.6917,49.63419999999999,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
175.01,58.65859999999999,50.2788,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
180.28,59.625499999999995,50.601099999999995,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
185.01,60.5924,50.923399999999994,75.91251885369533,43.99698340874812,73.0,50.0,73.0,50.0
190.02,61.55929999999999,51.568,72.69984917043742,0,67.0,50.0,70.0,50.0
195.23,62.2039,51.890299999999996,0,0,53.0,50.0,53.0,50.0
200.1,62.526199999999996,51.890299999999996,0,0,47.0,50.0,47.0,49.99999999999999
205.21,62.848499999999994,51.568,0,0,46.0,50.0,46.0,50.0
210.12,62.526199999999996,51.2457,0,0,37.0,50.0,37.00000000000001,50.0
220.19,60.914699999999996,50.2788,0,0,24.0,50.0,30.281690140845065,49.99999999999999
225.19,59.947799999999994,49.311899999999994,0,0,22.0,50.0,30.281690140845075,50.0
230.09,58.9809,48.989599999999996,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
235.16,58.013999999999996,48.345,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
240.13,57.04709999999999,48.02269999999999,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
245.1,56.0802,48.02269999999999,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
250.19,54.791,48.02269999999999,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
255.29,53.824099999999994,48.345,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
260.2,52.8572,48.6673,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
265.1,52.212599999999995,48.989599999999996,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
270.04,51.2457,49.311899999999994,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
275.04,50.2788,49.9565,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
280.23,49.63419999999999,50.2788,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
285.0,48.6673,50.923399999999994,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
290.21,48.02269999999999,51.2457,0,0,20.0,50.0,30.281690140845075,50.0
295.15,47.378099999999996,51.568,0,0,20.0,50.0,30.281690140845075,50.0
300.02,46.7335,51.2457,0,0,20.0,50.0,30.281690140845075,50.0
305.28,45.7666,50.923399999999994,0,0,20.0,50.0,30.281690140845075,50.0
310.2,45.122,50.2788,0,0,20.0,50.0,30.281690140845075,50.0
315.01,44.477399999999996,49.9565,0,0,20.0,50.0,30.281690140845075,50.0
320.17,43.8328,49.311899999999994,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
325.01,43.188199999999995,48.6673,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
330.16,42.2213,48.345,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
335.04,41.898999999999994,48.345,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
340.24,41.2544,48.345,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
345.16,40.6098,48.6673,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
350.02,39.965199999999996,48.989599999999996,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
355.02,39.6429,49.311899999999994,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
360.22,38.9983,49.63419999999999,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
365.0,38.675999999999995,50.2788,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
370.18,38.353699999999996,50.601099999999995,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
375.25,37.7091,50.923399999999994,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
380.12,37.386799999999994,51.568,0,0,20.0,50.0,30.281690140845075,50.0
385.05,37.064499999999995,51.568,0,0,20.0,50.0,30.281690140845075,50.0
390.12,36.7422,51.568,0,0,20.0,50.0,30.281690140845075,50.0
395.1,36.4199,51.2457,0,0,20.0,50.0,30.281690140845075,50.0
400.14,36.0976,50.601099999999995,0,0,20.0,50.0,30.281690140845075,50.0
405.23,35.452999999999996,49.9565,0,0,20.0,50.0,30.281690140845075,50.0
410.05,35.1307,49.311899999999994,0,0,20.0,50.0,30.281690140845075,50.0
415.18,34.8084,48.6673,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
420.12,34.4861,48.02269999999999,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
425.14,34.163799999999995,47.700399999999995,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
430.18,33.841499999999996,47.700399999999995,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
435.29,33.5192,47.700399999999995,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
440.13,33.1969,48.02269999999999,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
445.21,32.8746,48.345,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
450.16,32.552299999999995,48.6673,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
455.1,32.23,49.311899999999994,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
460.2,32.23,49.63419999999999,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
465.15,31.9077,49.9565,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
470.23,31.9077,50.2788,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
475.25,31.585399999999996,50.923399999999994,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
480.01,31.585399999999996,51.568,0,0,20.0,50.0,30.281690140845075,50.0
485.26,31.263099999999998,51.568,0,0,20.0,50.0,30.281690140845075,50.0
490.09,31.263099999999998,51.568,0,0,20.0,50.0,30.281690140845075,50.0
495.26,30.940799999999996,51.2457,0,0,20.0,50.0,30.281690140845075,50.0
500.28,30.940799999999996,50.601099999999995,0,0,20.0,50.0,30.281690140845075,50.0
505.01,30.618499999999997,49.9565,0,0,20.0,50.0,30.281690140845075,50.0
510.04,30.2962,49.311899999999994,0,0,20.0,50.0,30.281690140845075,50.0
515.01,30.2962,48.345,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
520.18,29.973899999999997,48.02269999999999,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
525.0,29.6516,47.700399999999995,0,57.52766978947592,20.0,50.0,30.281690140845075,50.0
